id,nombre,direccion,correo,salario,nHoras,fehcaIngreso
539,israel alzate,carrera50#26-29,cindy@sura.com.co,4931578,46,nan
4124,andres gallego,carrera 20#20-20,andres@sura.com.co,2656822,44,2020-07-23
2905,santiago posada,carrera50#26-29,andres@sura.com.co,9298406,43,2010-03-15
2955,andres gallego,calle 10 #50-347 medellin,juangalleo@sura.com,2672767,44,2010-03-15
3876,mauro yepes,carrera 19#59-10,cindy@sura.com.co,5778126,45,2010-03-15
1402,israel alzate,calle 40#30-30,isra@sura.com,6860736,43,1999-05-10
4784,andres gallego,carrera 19#59-10,juangalleo@sura.com,8811830,42,sin
3844,camila builes,carrera50#26-29,cindy@sura.com.co,8165603,42,2010-03-15
3807,israel alzate,carrera50#26-29,isra@sura.com,4448862,46,2005-10-20
440,camila builes,calle 40#30-30,isra@sura.com,5428455,43,2005-10-20
1036,israel alzate,carrera 20#20-20,juangalleo@sura.com,6702413,43,2020-07-23
1959,santiago posada,carrera50#26-29,andres@sura.com.co,6036679,45,2010-03-15
538,mauro yepes,carrera50#26-29,juangalleo@sura.com,8094489,43,2010-03-15
2623,camila builes,carrera50#26-29,cindy@sura.com.co,8430263,44,1999-05-10
1731,andres gallego,calle 40#30-30,isra@sura.com,5808326,45,2005-10-20
502,camila builes,carrera50#26-29,andres@sura.com.co,4784552,42,1999-05-10
3223,mauro yepes,carrera 20#20-20,cindy@sura.com.co,4670185,43,2010-03-15
4369,andres gallego,calle 40#30-30,cindy@sura.com.co,7798025,44,2005-10-20
3302,israel alzate,calle 40#30-30,isra@sura.com,2559271,44,sin
2974,santiago posada,carrera50#26-29,isra@sura.com,3987786,43,2005-10-20
3890,santiago posada,carrera 19#59-10,andres@sura.com.co,9930106,46,2020-07-23
1324,camila builes,calle 40#30-30,juangalleo@sura.com,4731313,44,1999-05-10
1506,andres gallego,carrera 19#59-10,andres@sura.com.co,5882930,44,nan
4826,camila builes,calle 10 #50-347 medellin,andres@sura.com.co,2674591,44,2005-10-20
2106,israel alzate,carrera50#26-29,juangalleo@sura.com,9415653,43,-
1823,santiago posada,carrera 19#59-10,isra@sura.com,8167967,42,1999-05-10
3309,camila builes,carrera 20#20-20,isra@sura.com,7119834,45,1999-05-10
2491,camila builes,calle 40#30-30,andres@sura.com.co,8092908,46,-
4801,camila builes,calle 10 #50-347 medellin,andres@sura.com.co,3047035,46,-
725,santiago posada,carrera50#26-29,cindy@sura.com.co,7636366,45,2020-07-23
484,santiago posada,carrera50#26-29,isra@sura.com,6584330,42,-
4777,andres gallego,calle 10 #50-347 medellin,isra@sura.com,9812097,42,2005-10-20
3683,andres gallego,calle 40#30-30,andres@sura.com.co,2391813,43,nan
4602,israel alzate,carrera 19#59-10,juangalleo@sura.com,4029477,45,2010-03-15
1687,santiago posada,calle 10 #50-347 medellin,andres@sura.com.co,4031164,43,sin
4124,mauro yepes,carrera50#26-29,andres@sura.com.co,5306485,45,-
3175,israel alzate,carrera50#26-29,andres@sura.com.co,6566591,43,2010-03-15
393,santiago posada,calle 40#30-30,cindy@sura.com.co,8137324,45,2020-07-23
3625,camila builes,carrera 19#59-10,cindy@sura.com.co,6174947,42,2020-07-23
4331,camila builes,calle 10 #50-347 medellin,andres@sura.com.co,7737956,45,-
444,camila builes,calle 40#30-30,isra@sura.com,3692026,45,nan
2469,santiago posada,carrera50#26-29,isra@sura.com,8618008,43,nan
1908,israel alzate,carrera 20#20-20,andres@sura.com.co,8788405,43,nan
2985,santiago posada,carrera 19#59-10,andres@sura.com.co,5886540,45,sin
4659,mauro yepes,carrera 19#59-10,isra@sura.com,8297942,44,2010-03-15
3303,israel alzate,carrera 19#59-10,isra@sura.com,8989121,42,1999-05-10
3732,camila builes,carrera 20#20-20,juangalleo@sura.com,3602906,43,2020-07-23
3450,israel alzate,calle 40#30-30,cindy@sura.com.co,6304871,46,2010-03-15
588,mauro yepes,calle 40#30-30,cindy@sura.com.co,6215961,45,-
3360,andres gallego,calle 40#30-30,isra@sura.com,5203735,46,1999-05-10
4872,santiago posada,carrera 20#20-20,cindy@sura.com.co,4170687,46,1999-05-10
1705,camila builes,carrera 19#59-10,andres@sura.com.co,9625691,44,2005-10-20
4509,mauro yepes,calle 40#30-30,juangalleo@sura.com,2913026,42,1999-05-10
491,camila builes,carrera50#26-29,cindy@sura.com.co,7676406,42,sin
547,camila builes,calle 40#30-30,cindy@sura.com.co,4066731,46,sin
4708,andres gallego,carrera 20#20-20,andres@sura.com.co,9437853,45,nan
3259,mauro yepes,carrera50#26-29,isra@sura.com,8730230,43,sin
3215,andres gallego,carrera 20#20-20,andres@sura.com.co,5526142,45,2005-10-20
1287,camila builes,carrera 20#20-20,juangalleo@sura.com,8056465,46,-
2055,mauro yepes,carrera 20#20-20,cindy@sura.com.co,5661522,42,sin
912,mauro yepes,carrera50#26-29,andres@sura.com.co,6580247,42,nan
2421,israel alzate,carrera50#26-29,juangalleo@sura.com,6472254,42,sin
2261,santiago posada,carrera 19#59-10,juangalleo@sura.com,9756595,46,nan
4256,santiago posada,carrera50#26-29,cindy@sura.com.co,7668040,46,nan
1078,israel alzate,calle 10 #50-347 medellin,isra@sura.com,4847214,46,1999-05-10
699,camila builes,carrera50#26-29,andres@sura.com.co,6303950,46,1999-05-10
755,israel alzate,carrera 19#59-10,andres@sura.com.co,7640596,43,-
469,santiago posada,carrera50#26-29,isra@sura.com,7434892,43,-
4931,israel alzate,carrera 19#59-10,juangalleo@sura.com,3010748,42,sin
1679,santiago posada,carrera50#26-29,juangalleo@sura.com,6531927,43,sin
853,santiago posada,carrera 19#59-10,isra@sura.com,8727396,42,-
4478,israel alzate,carrera 20#20-20,andres@sura.com.co,7484798,43,sin
4568,andres gallego,carrera50#26-29,andres@sura.com.co,9605631,46,2020-07-23
2366,mauro yepes,calle 10 #50-347 medellin,andres@sura.com.co,3500802,43,nan
4642,israel alzate,carrera 19#59-10,andres@sura.com.co,8072605,45,2010-03-15
1732,camila builes,calle 10 #50-347 medellin,juangalleo@sura.com,4393162,43,nan
4518,mauro yepes,calle 10 #50-347 medellin,juangalleo@sura.com,5991728,46,2005-10-20
4691,camila builes,calle 10 #50-347 medellin,cindy@sura.com.co,5218973,42,1999-05-10
1739,israel alzate,carrera 19#59-10,juangalleo@sura.com,8489748,46,2005-10-20
685,israel alzate,calle 40#30-30,juangalleo@sura.com,3158389,42,1999-05-10
3335,israel alzate,carrera 20#20-20,juangalleo@sura.com,5396902,46,1999-05-10
2959,santiago posada,carrera 19#59-10,cindy@sura.com.co,5368831,43,1999-05-10
1465,santiago posada,carrera 19#59-10,juangalleo@sura.com,9538575,42,sin
700,camila builes,carrera 20#20-20,cindy@sura.com.co,7248283,44,sin
4698,santiago posada,carrera 20#20-20,andres@sura.com.co,3897862,45,2005-10-20
4305,israel alzate,carrera 20#20-20,andres@sura.com.co,7694624,42,2020-07-23
692,israel alzate,carrera50#26-29,cindy@sura.com.co,9652643,46,nan
2962,mauro yepes,carrera50#26-29,juangalleo@sura.com,9628284,44,nan
1893,israel alzate,carrera 19#59-10,juangalleo@sura.com,5991782,45,sin
3868,santiago posada,carrera50#26-29,cindy@sura.com.co,3375978,42,2020-07-23
4130,santiago posada,carrera 20#20-20,isra@sura.com,8008574,46,2020-07-23
2690,andres gallego,calle 10 #50-347 medellin,andres@sura.com.co,8040544,42,nan
651,israel alzate,calle 40#30-30,cindy@sura.com.co,3570394,46,sin
3919,andres gallego,calle 10 #50-347 medellin,isra@sura.com,3575674,44,-
2549,camila builes,carrera 19#59-10,isra@sura.com,5903642,46,1999-05-10
2208,camila builes,carrera50#26-29,juangalleo@sura.com,4868628,45,1999-05-10
930,santiago posada,carrera50#26-29,juangalleo@sura.com,5522452,44,2010-03-15
4342,mauro yepes,carrera50#26-29,cindy@sura.com.co,9405466,44,2005-10-20
4401,santiago posada,carrera50#26-29,andres@sura.com.co,9920438,45,nan
3222,mauro yepes,carrera 20#20-20,andres@sura.com.co,7065793,45,nan
731,andres gallego,carrera50#26-29,cindy@sura.com.co,8217095,42,2010-03-15
4518,santiago posada,calle 40#30-30,cindy@sura.com.co,9353834,44,sin
4172,mauro yepes,calle 40#30-30,cindy@sura.com.co,8372552,46,sin
2276,andres gallego,carrera 20#20-20,andres@sura.com.co,9810282,46,1999-05-10
4979,andres gallego,calle 40#30-30,andres@sura.com.co,5212550,46,sin
3112,israel alzate,calle 10 #50-347 medellin,juangalleo@sura.com,4915646,43,2010-03-15
2301,camila builes,calle 10 #50-347 medellin,juangalleo@sura.com,9118543,46,-
774,santiago posada,carrera 19#59-10,andres@sura.com.co,7992982,45,-
3666,andres gallego,calle 10 #50-347 medellin,andres@sura.com.co,6571098,44,sin
1507,santiago posada,calle 40#30-30,isra@sura.com,9369685,44,sin
2659,mauro yepes,calle 10 #50-347 medellin,andres@sura.com.co,6617245,45,2005-10-20
3645,camila builes,carrera 20#20-20,juangalleo@sura.com,7226398,44,2005-10-20
3654,andres gallego,carrera 19#59-10,andres@sura.com.co,6296709,42,2020-07-23
2565,santiago posada,carrera50#26-29,juangalleo@sura.com,4414424,45,-
3377,israel alzate,calle 40#30-30,isra@sura.com,5834896,43,sin
3929,israel alzate,carrera 19#59-10,juangalleo@sura.com,9544778,43,2010-03-15
3610,santiago posada,carrera 20#20-20,juangalleo@sura.com,3290164,46,nan
594,mauro yepes,carrera 19#59-10,juangalleo@sura.com,9282037,45,2010-03-15
1623,mauro yepes,carrera50#26-29,andres@sura.com.co,3772791,43,-
2841,camila builes,calle 10 #50-347 medellin,isra@sura.com,4084498,45,2010-03-15
2447,andres gallego,carrera 19#59-10,juangalleo@sura.com,9603897,44,2010-03-15
4499,israel alzate,carrera 19#59-10,isra@sura.com,7890590,43,2005-10-20
3756,mauro yepes,calle 10 #50-347 medellin,andres@sura.com.co,9316234,42,sin
2605,andres gallego,carrera50#26-29,andres@sura.com.co,2227894,45,nan
536,andres gallego,calle 10 #50-347 medellin,juangalleo@sura.com,6122392,43,2010-03-15
1917,mauro yepes,carrera 19#59-10,cindy@sura.com.co,8546657,42,2010-03-15
2217,mauro yepes,carrera 19#59-10,isra@sura.com,4518387,46,2020-07-23
373,santiago posada,carrera 20#20-20,cindy@sura.com.co,7658996,46,2020-07-23
356,israel alzate,carrera 20#20-20,cindy@sura.com.co,5606998,44,-
4209,santiago posada,carrera 19#59-10,isra@sura.com,3582595,44,sin
406,mauro yepes,calle 40#30-30,andres@sura.com.co,6915432,43,sin
5000,andres gallego,carrera50#26-29,juangalleo@sura.com,3003928,44,2010-03-15
1856,santiago posada,carrera50#26-29,cindy@sura.com.co,6160307,44,sin
3954,israel alzate,carrera 19#59-10,juangalleo@sura.com,5822649,46,-
3909,camila builes,carrera 19#59-10,isra@sura.com,7160260,45,2010-03-15
3897,mauro yepes,calle 40#30-30,andres@sura.com.co,9499212,43,-
3017,andres gallego,carrera50#26-29,cindy@sura.com.co,7034187,44,sin
4984,camila builes,carrera50#26-29,cindy@sura.com.co,6281558,44,2010-03-15
3249,camila builes,calle 10 #50-347 medellin,andres@sura.com.co,2893113,44,2010-03-15
1495,mauro yepes,carrera 20#20-20,cindy@sura.com.co,4785453,45,sin
3206,mauro yepes,carrera 20#20-20,cindy@sura.com.co,6014903,43,-
2232,santiago posada,carrera50#26-29,andres@sura.com.co,8995547,44,1999-05-10
4569,camila builes,carrera 20#20-20,cindy@sura.com.co,4923654,42,2005-10-20
3716,santiago posada,carrera 20#20-20,cindy@sura.com.co,3277454,45,1999-05-10
1558,israel alzate,carrera 20#20-20,andres@sura.com.co,4437922,42,2010-03-15
4886,camila builes,carrera 20#20-20,isra@sura.com,3224163,43,2010-03-15
4716,andres gallego,carrera 20#20-20,andres@sura.com.co,6502259,45,2020-07-23
812,mauro yepes,carrera50#26-29,juangalleo@sura.com,6968957,46,nan
3584,andres gallego,carrera50#26-29,andres@sura.com.co,4457263,43,2010-03-15
4017,andres gallego,carrera 20#20-20,isra@sura.com,4876794,43,1999-05-10
1958,camila builes,calle 10 #50-347 medellin,cindy@sura.com.co,5509239,44,1999-05-10
2362,camila builes,calle 40#30-30,juangalleo@sura.com,7981710,45,nan
2147,santiago posada,carrera50#26-29,juangalleo@sura.com,6408065,42,2010-03-15
4483,mauro yepes,carrera 20#20-20,isra@sura.com,7106479,45,2020-07-23
1767,israel alzate,calle 40#30-30,juangalleo@sura.com,6529558,42,nan
4867,israel alzate,calle 10 #50-347 medellin,cindy@sura.com.co,9435494,43,nan
763,andres gallego,carrera 19#59-10,juangalleo@sura.com,5384003,42,sin
3096,andres gallego,calle 10 #50-347 medellin,andres@sura.com.co,4944765,42,2020-07-23
1602,israel alzate,carrera 20#20-20,juangalleo@sura.com,2499561,46,2020-07-23
4976,andres gallego,carrera 19#59-10,isra@sura.com,6188573,46,-
1051,santiago posada,calle 10 #50-347 medellin,juangalleo@sura.com,4012350,43,2010-03-15
1346,andres gallego,carrera50#26-29,andres@sura.com.co,3093075,45,sin
2901,israel alzate,calle 40#30-30,cindy@sura.com.co,8977927,44,sin
3644,israel alzate,calle 10 #50-347 medellin,isra@sura.com,3331337,42,-
1431,israel alzate,calle 10 #50-347 medellin,andres@sura.com.co,4078422,44,2010-03-15
1256,andres gallego,carrera 20#20-20,juangalleo@sura.com,9901213,45,2005-10-20
933,camila builes,carrera 19#59-10,isra@sura.com,2803925,43,nan
2384,santiago posada,carrera 20#20-20,isra@sura.com,5243143,43,2020-07-23
1897,santiago posada,carrera 19#59-10,isra@sura.com,7066088,46,nan
3939,andres gallego,calle 10 #50-347 medellin,juangalleo@sura.com,5778687,42,2020-07-23
821,camila builes,carrera 19#59-10,isra@sura.com,4952398,42,2005-10-20
3557,mauro yepes,calle 40#30-30,andres@sura.com.co,2858357,44,1999-05-10
981,santiago posada,carrera50#26-29,cindy@sura.com.co,7661078,43,2005-10-20
4288,camila builes,carrera 20#20-20,isra@sura.com,4354778,44,1999-05-10
1060,mauro yepes,calle 10 #50-347 medellin,andres@sura.com.co,9099590,44,sin
4591,camila builes,carrera 19#59-10,isra@sura.com,7672171,42,2020-07-23
1341,mauro yepes,calle 40#30-30,andres@sura.com.co,2867021,44,2010-03-15
2955,camila builes,carrera50#26-29,andres@sura.com.co,7259664,43,-
4886,santiago posada,carrera 19#59-10,juangalleo@sura.com,4020608,42,1999-05-10
1754,andres gallego,carrera 20#20-20,andres@sura.com.co,5357777,43,1999-05-10
1135,andres gallego,carrera50#26-29,juangalleo@sura.com,3426846,43,1999-05-10
473,israel alzate,carrera 20#20-20,juangalleo@sura.com,8778220,43,sin
4147,andres gallego,calle 10 #50-347 medellin,cindy@sura.com.co,3443919,46,nan
896,mauro yepes,carrera 20#20-20,isra@sura.com,6279682,46,sin
2502,andres gallego,carrera 19#59-10,juangalleo@sura.com,5168976,45,nan
3718,israel alzate,carrera50#26-29,juangalleo@sura.com,6558036,43,-
3522,camila builes,carrera 20#20-20,juangalleo@sura.com,2476256,46,nan
2371,andres gallego,carrera50#26-29,andres@sura.com.co,9955237,42,2005-10-20
1521,israel alzate,carrera 20#20-20,juangalleo@sura.com,2414532,45,1999-05-10
2906,camila builes,carrera50#26-29,andres@sura.com.co,5250257,44,nan
2653,israel alzate,carrera 20#20-20,isra@sura.com,9500138,44,nan
1572,israel alzate,carrera50#26-29,isra@sura.com,5249818,43,2020-07-23
2041,camila builes,calle 10 #50-347 medellin,isra@sura.com,5921130,45,2005-10-20
2721,mauro yepes,calle 40#30-30,cindy@sura.com.co,3346090,43,2020-07-23
2549,santiago posada,carrera 20#20-20,andres@sura.com.co,9059965,42,2010-03-15
2998,camila builes,calle 40#30-30,cindy@sura.com.co,4109403,42,2005-10-20
550,camila builes,calle 40#30-30,isra@sura.com,9350601,46,2010-03-15
2195,andres gallego,calle 40#30-30,isra@sura.com,3600091,46,1999-05-10
2553,israel alzate,carrera 20#20-20,andres@sura.com.co,7911830,46,2005-10-20
1463,israel alzate,carrera 19#59-10,cindy@sura.com.co,5499590,43,sin
2157,santiago posada,calle 10 #50-347 medellin,cindy@sura.com.co,3047057,45,-
3329,camila builes,carrera 20#20-20,andres@sura.com.co,3606934,42,1999-05-10
1803,santiago posada,carrera 19#59-10,andres@sura.com.co,7411701,45,2020-07-23
2894,camila builes,carrera 20#20-20,cindy@sura.com.co,5914343,43,2005-10-20
3667,camila builes,calle 10 #50-347 medellin,cindy@sura.com.co,8610316,44,1999-05-10
2247,mauro yepes,carrera 20#20-20,isra@sura.com,4351927,44,2020-07-23
796,camila builes,calle 10 #50-347 medellin,cindy@sura.com.co,3949820,42,sin
2525,israel alzate,calle 10 #50-347 medellin,cindy@sura.com.co,4860417,46,1999-05-10
772,andres gallego,carrera 19#59-10,juangalleo@sura.com,7778485,46,2020-07-23
2810,andres gallego,carrera 20#20-20,juangalleo@sura.com,3195878,44,2010-03-15
1368,camila builes,carrera 19#59-10,andres@sura.com.co,4219666,43,sin
768,mauro yepes,carrera 19#59-10,andres@sura.com.co,9683459,46,2010-03-15
3184,mauro yepes,carrera 19#59-10,juangalleo@sura.com,8904873,46,-
1083,santiago posada,calle 40#30-30,juangalleo@sura.com,3425277,45,2005-10-20
1342,santiago posada,carrera 20#20-20,isra@sura.com,2553120,44,nan
1993,mauro yepes,carrera 19#59-10,cindy@sura.com.co,2201509,43,2005-10-20
3627,israel alzate,carrera 19#59-10,juangalleo@sura.com,2826999,46,1999-05-10
3155,andres gallego,calle 10 #50-347 medellin,andres@sura.com.co,4011308,45,nan
2611,israel alzate,calle 10 #50-347 medellin,cindy@sura.com.co,5692106,46,-
3025,israel alzate,carrera 20#20-20,andres@sura.com.co,9853137,46,2010-03-15
3651,santiago posada,carrera 20#20-20,isra@sura.com,6058069,42,2010-03-15
3891,santiago posada,carrera50#26-29,cindy@sura.com.co,3984426,45,2020-07-23
1047,israel alzate,carrera 19#59-10,isra@sura.com,8813678,42,2005-10-20
3401,andres gallego,carrera 20#20-20,juangalleo@sura.com,2983368,44,2020-07-23
416,santiago posada,calle 10 #50-347 medellin,isra@sura.com,2473152,43,nan
1512,israel alzate,carrera 20#20-20,isra@sura.com,4199741,45,1999-05-10
4492,andres gallego,calle 10 #50-347 medellin,isra@sura.com,6842296,43,2005-10-20
2584,andres gallego,carrera50#26-29,isra@sura.com,9142354,46,2020-07-23
697,santiago posada,carrera 19#59-10,andres@sura.com.co,9947077,43,sin
1418,mauro yepes,calle 40#30-30,juangalleo@sura.com,3323131,45,2010-03-15
1202,andres gallego,calle 40#30-30,isra@sura.com,4883725,46,-
2629,mauro yepes,calle 40#30-30,juangalleo@sura.com,6924607,46,2010-03-15
3420,camila builes,calle 40#30-30,juangalleo@sura.com,9793244,43,nan
3769,camila builes,carrera 20#20-20,cindy@sura.com.co,7233793,44,2010-03-15
3895,israel alzate,carrera 19#59-10,andres@sura.com.co,9741459,42,sin
2492,israel alzate,calle 40#30-30,juangalleo@sura.com,9307641,44,1999-05-10
1176,santiago posada,carrera 20#20-20,cindy@sura.com.co,6736810,45,2010-03-15
817,andres gallego,carrera 20#20-20,juangalleo@sura.com,6520120,44,-
960,mauro yepes,calle 10 #50-347 medellin,isra@sura.com,9355439,45,nan
3346,camila builes,carrera50#26-29,cindy@sura.com.co,3169590,43,1999-05-10
4400,andres gallego,calle 40#30-30,cindy@sura.com.co,8579157,45,2010-03-15
2651,santiago posada,carrera50#26-29,juangalleo@sura.com,9736505,43,-
1179,camila builes,calle 10 #50-347 medellin,cindy@sura.com.co,8548383,44,2020-07-23
4863,mauro yepes,calle 40#30-30,cindy@sura.com.co,8332335,42,2010-03-15
2342,santiago posada,carrera50#26-29,juangalleo@sura.com,7573570,42,2020-07-23
2766,santiago posada,carrera 19#59-10,isra@sura.com,5036691,45,1999-05-10
3179,mauro yepes,carrera 19#59-10,juangalleo@sura.com,8782667,43,2010-03-15
3495,santiago posada,carrera50#26-29,isra@sura.com,7761467,45,sin
1971,santiago posada,calle 40#30-30,andres@sura.com.co,8053916,42,sin
3975,mauro yepes,carrera 20#20-20,cindy@sura.com.co,8717662,44,2005-10-20
454,israel alzate,carrera50#26-29,cindy@sura.com.co,4256799,46,sin
4127,camila builes,carrera50#26-29,cindy@sura.com.co,9185394,46,1999-05-10
2897,andres gallego,carrera 20#20-20,isra@sura.com,8016912,44,2005-10-20
3915,camila builes,carrera 19#59-10,cindy@sura.com.co,3356773,46,sin
1276,israel alzate,calle 40#30-30,isra@sura.com,3708520,43,sin
462,camila builes,calle 40#30-30,isra@sura.com,8574464,46,2020-07-23
3401,israel alzate,carrera50#26-29,isra@sura.com,4311162,44,sin
4121,andres gallego,calle 40#30-30,cindy@sura.com.co,8528646,46,nan
1938,camila builes,carrera 19#59-10,cindy@sura.com.co,6700063,43,sin
2159,mauro yepes,carrera 20#20-20,juangalleo@sura.com,7550928,44,2010-03-15
1516,santiago posada,carrera 19#59-10,juangalleo@sura.com,5629321,46,2005-10-20
2933,israel alzate,calle 10 #50-347 medellin,andres@sura.com.co,7720747,43,2020-07-23
